Time, Altitude (ft), Airspeed (Kts), Latitude, Longitude, Weight of fuel (lbs), Weight of total fuel (kgs), Total weight (kgs), 
0.000000, 21117.126953, 198.490738, 39.772945, -8.505303, 24169.677734, 5509.244629, 63846.750000, 
0.578125, 21097.923828, 198.437027, 39.771931, -8.505182, 24169.677734, 5509.162109, 63846.671875, 
1.117188, 21079.878906, 198.386902, 39.770977, -8.505069, 24169.677734, 5509.077148, 63846.585938, 
1.648438, 21061.888672, 198.337234, 39.770027, -8.504956, 24169.677734, 5508.985840, 63846.492188, 
2.218750, 21042.820312, 198.284927, 39.769020, -8.504826, 24169.677734, 5508.897461, 63846.406250, 
2.796875, 21023.558594, 198.232422, 39.768005, -8.504716, 24169.677734, 5508.807129, 63846.312500, 
3.367188, 21004.322266, 198.180191, 39.766994, -8.504596, 24169.677734, 5508.724609, 63846.234375, 
3.890625, 20986.732422, 198.132645, 39.766068, -8.504485, 24169.677734, 5508.642090, 63846.148438, 
4.414062, 20968.992188, 198.084839, 39.765137, -8.504375, 24169.677734, 5508.558594, 63846.070312, 
4.937500, 20951.427734, 198.037506, 39.764214, -8.504265, 24169.677734, 5508.469238, 63845.820312, 
5.507812, 20932.085938, 197.985245, 39.763199, -8.504145, 24169.677734, 5508.379883, 63845.890625, 
6.085938, 20912.722656, 197.932785, 39.762184, -8.504014, 24169.677734, 5508.289062, 63845.796875, 
6.664062, 20893.435547, 197.880295, 39.761173, -8.503903, 24169.677734, 5508.199219, 63845.707031, 
7.234375, 20874.146484, 197.827515, 39.760162, -8.503773, 24169.677734, 5508.109375, 63845.617188, 
7.804688, 20854.898438, 197.774796, 39.759151, -8.503654, 24169.677734, 5508.020020, 63845.519531, 
8.421875, 20833.935547, 197.716919, 39.758049, -8.503532, 24169.677734, 5507.930176, 63845.437500, 
8.953125, 20816.455078, 197.668411, 39.757133, -8.503413, 24169.677734, 5507.840820, 63845.347656, 
9.523438, 20797.222656, 197.615005, 39.756123, -8.503304, 24169.677734, 5507.759766, 63845.265625, 
10.046875, 20779.638672, 197.565918, 39.755196, -8.503194, 24169.677734, 5507.669922, 63845.019531, 
10.617188, 20760.398438, 197.511810, 39.754185, -8.503074, 24169.677734, 5507.586426, 63845.093750, 
11.148438, 20742.769531, 197.461899, 39.753258, -8.502963, 24169.677734, 5507.503906, 63845.011719, 
11.687500, 20724.736328, 197.410736, 39.752308, -8.502851, 24169.677734, 5507.419922, 63844.917969, 
12.257812, 20705.648438, 197.356201, 39.751301, -8.502730, 24169.677734, 5507.330078, 63844.839844, 
12.781250, 20688.117188, 197.306030, 39.750378, -8.502621, 24169.677734, 5507.247070, 63844.753906, 
13.296875, 20670.712891, 197.256104, 39.749458, -8.502512, 24169.677734, 5507.165039, 63844.675781, 
